names, test_score_rating, academic_progress_rating,    college_readiness_rating, equity_overall_rating
Elkton High School,4/10,,3/10,4/10
Leeds Elementary School,5/10,4/10,,4/10
North East Middle School,6/10,6/10,,3/10
North East High School,5/10,,4/10,3/10
Perryville Middle School,6/10,5/10,,4/10
Rising Sun Elementary School,6/10,5/10,,4/10
Kenmore Elementary School,6/10,4/10,,4/10
Rising Sun High School,7/10,,8/10,4/10
Westlake High School,5/10,,6/10,4/10
Arthur Middleton Elementary School,6/10,6/10,,3/10
Benjamin Stoddert Middle School,4/10,5/10,,4/10
Dr. Gustavus Brown Elementary School,6/10,,,5/10
Gale-Bailey Elementary School,6/10,6/10,,5/10
General Smallwood Middle School,5/10,4/10,,4/10
J. P. Ryon Elementary School,4/10,6/10,,4/10
Henry E. Lackey High School,4/10,,6/10,4/10
Matthew Henson Middle School,7/10,6/10,,6/10
T. C. Martin Elementary School,8/10,7/10,,6/10
Walter J. Mitchell Elementary School,7/10,7/10,,3/10
Mattawoman Middle School,5/10,5/10,,4/10
William B. Wade Elementary School,6/10,5/10,,5/10
North Dorchester Middle School,6/10,5/10,,4/10
Vienna Elementary School,4/10,6/10,,4/10
Choptank Elementary School,4/10,5/10,,4/10
Frederick High School,5/10,,5/10,4/10
Gov. Thomas Johnson High School,6/10,,6/10,4/10
Walkersville Elementary School,6/10,7/10,,5/10
West Frederick Middle School,7/10,7/10,,4/10
Whittier Elementary School,7/10,6/10,,6/10
Monocacy Middle School,7/10,8/10,,4/10
New Midway/Woodsboro Elementary School,7/10,7/10,,4/10
Broad Ford Elementary School,5/10,7/10,,4/10
Friendsville Elementary School,4/10,5/10,,4/10
Yough Glades Elementary School,5/10,5/10,,4/10
Aberdeen High School,5/10,,4/10,4/10
Deerfield Elementary School,5/10,6/10,,5/10
Edgewood Middle School,6/10,5/10,,5/10
Edgewood High School,5/10,,3/10,5/10
Joppatowne High School,4/10,,3/10,5/10
Magnolia Elementary School,3/10,6/10,,4/10
Roye-Williams Elementary School,6/10,4/10,,5/10
Atholton High School,6/10,,9/10,4/10
Glenwood Middle School,9/10,6/10,,4/10
Hammond High School,6/10,,8/10,5/10
Patapsco Middle School,9/10,6/10,,5/10
Stevens Forest Elementary School,6/10,7/10,,4/10
Talbott Springs Elementary School,6/10,7/10,,3/10
Thunder Hill Elementary School,8/10,6/10,,5/10
Wilde Lake High School,5/10,,7/10,3/10
Murray Hill Middle School,6/10,,,5/10
Clemens Crossing Elementary School,9/10,6/10,,8/10
Bollman Bridge Elementary School,5/10,6/10,,4/10
Patuxent Valley Middle School,6/10,4/10,,4/10
Mayfield Woods Middle School,7/10,5/10,,4/10
Kent County Middle School,6/10,5/10,,3/10
Kent County High School,7/10,,5/10,3/10
Lois P. Rockwell Elementary School,8/10,7/10,,4/10
Argyle Middle School,5/10,4/10,,4/10
Forest Oak Middle School,5/10,5/10,,4/10
Broad Acres Elementary School,4/10,6/10,,5/10
Brookhaven Elementary School,4/10,5/10,,4/10
Cannon Road Elementary School,5/10,6/10,,4/10
Col. E. Brooke Lee Middle School,5/10,6/10,,4/10
Fields Road Elementary School,8/10,7/10,,4/10
Forest Knolls Elementary School,7/10,7/10,,4/10
Gaithersburg Middle School,5/10,4/10,,3/10
Galway Elementary School,5/10,7/10,,5/10
Germantown Elementary School,7/10,5/10,,5/10
Jackson Road Elementary School,4/10,4/10,,4/10
Kemp Mill Elementary School,4/10,5/10,,4/10
Laytonsville Elementary School,8/10,8/10,,6/10
Lucy V. Barnsley Elementary School,9/10,8/10,,5/10
Mill Creek Towne Elementary School,6/10,5/10,,3/10
Oakland Terrace Elementary School,8/10,6/10,,4/10
Redland Middle School,6/10,5/10,,4/10
Richard Montgomery High School,6/10,,7/10,3/10
Ridgeview Middle School,8/10,7/10,,4/10
Rosemont Elementary School,6/10,7/10,,4/10
Sherwood High School,7/10,,7/10,4/10
Somerset Elementary School,9/10,6/10,,7/10
Strathmore Elementary School,5/10,7/10,,4/10
Summit Hall Elementary School,4/10,7/10,,4/10
Washington Grove Elementary School,5/10,5/10,,4/10
Weller Road Elementary School,5/10,,,4/10
Westland Middle School,9/10,7/10,,6/10
White Oak Middle School,6/10,8/10,,4/10
William Tyler Page Elementary School,6/10,6/10,,6/10
William H. Farquhar Middle School,9/10,7/10,,6/10
Northwest High School,6/10,,8/10,4/10
James Hubert Blake High School,5/10,,6/10,4/10
Martin Luther King Jr. Middle School,6/10,5/10,,4/10
Lake Seneca Elementary School,5/10,6/10,,4/10
Damascus High School,7/10,,8/10,5/10
Eastern Middle School,8/10,8/10,,4/10
Sligo Middle School,6/10,7/10,,4/10
Waters Landing Elementary School,6/10,7/10,,4/10
Clearspring Elementary School,8/10,7/10,,5/10
Cloverly Elementary School,7/10,5/10,,4/10
Brooke Grove Elementary School,9/10,8/10,,5/10
Burnt Mills Elementary School,5/10,7/10,,4/10
Francis Scott Key Middle School,4/10,4/10,,4/10
Rachel Carson Elementary School,9/10,8/10,,5/10
Sequoyah Elementary School,6/10,7/10,,3/10
Greenbelt Elementary School,6/10,6/10,,4/10
Scotchtown Hills Elementary School,4/10,6/10,,4/10
Perrywood Elementary School,5/10,6/10,,5/10
Avalon Elementary School,5/10,5/10,,5/10
Bladensburg High School,4/10,,1/10,4/10
Bowie High School,5/10,,4/10,5/10
Brandywine Elementary School,4/10,5/10,,4/10
Buck Lodge Middle School,4/10,6/10,,4/10
Calverton Elementary School,4/10,5/10,,4/10
Carole Highlands Elementary School,4/10,6/10,,4/10
Cherokee Lane Elementary School,4/10,5/10,,4/10
Francis T. Evans Elementary School,4/10,6/10,,4/10
Frederick Douglass High School,4/10,,5/10,4/10
Fort Washington Forest Elementary School,5/10,6/10,,4/10
Gwynn Park Middle School,4/10,4/10,,4/10
Hollywood Elementary School,5/10,3/10,,4/10
Hyattsville Middle School,5/10,4/10,,3/10
Indian Queen Elementary School,5/10,6/10,,4/10
Laurel Elementary School,4/10,4/10,,3/10
Lewisdale Elementary School,4/10,6/10,,4/10
Magnolia Elementary School,4/10,5/10,,4/10
Montpelier Elementary School,5/10,5/10,,4/10
Northwestern High School,4/10,,2/10,4/10
Oxon Hill High School,6/10,,4/10,5/10
Rockledge Elementary School,4/10,3/10,,4/10
Samuel Chase Elementary School,5/10,7/10,,5/10
Seabrook Elementary School,5/10,5/10,,4/10
Thomas Johnson Middle School,4/10,5/10,,4/10
University Park Elementary School,6/10,6/10,,3/10
Valley View Elementary School,5/10,5/10,,4/10
Oxon Hill Middle School,4/10,,,3/10
Glenridge Elementary School,4/10,5/10,,4/10
Gladys Noon Spellman Elementary School,4/10,6/10,,4/10
Washington Academy And High School,5/10,,5/10,3/10
Green Holly Elementary School,6/10,7/10,,2/10
Great Mills High School,6/10,,7/10,4/10
Greenview Knolls Elementary School,6/10,7/10,,3/10
Hollywood Elementary School,7/10,7/10,,3/10
Oakville Elementary School,6/10,5/10,,4/10
Town Creek Elementary School,7/10,,,4/10
Leonardtown High School,6/10,,10/10,5/10
Easton Elementary School,6/10,7/10,,3/10
Clear Spring Elementary School,6/10,7/10,,4/10
E. Russell Hicks Middle School,6/10,6/10,,4/10
Fountain Rock Elementary School,5/10,4/10,,4/10
Pleasant Valley Elementary School,6/10,5/10,,4/10
Potomac Heights Elementary School,7/10,6/10,,4/10
Salem Avenue Elementary School,5/10,7/10,,4/10
South Hagerstown High School,5/10,,3/10,4/10
Springfield Middle School,6/10,5/10,,4/10
Western Heights Middle School,5/10,6/10,,4/10
Williamsport High School,6/10,,4/10,4/10
James M. Bennett High School,5/10,,4/10,3/10
Pemberton Elementary School,5/10,7/10,,3/10
Wicomico Middle School,5/10,5/10,,3/10
Willards Elementary School,6/10,,,4/10
Dowell Elementary School,7/10,5/10,,5/10
Cranberry Station Elementary School,6/10,4/10,,4/10
Shady Grove Middle School,8/10,6/10,,4/10
Silver Spring International Middle School,7/10,7/10,,4/10
Highland Park Elementary School,5/10,5/10,,4/10
Salisbury Middle School,7/10,8/10,,3/10
New Town Elementary School,6/10,4/10,,5/10
Dogwood Elementary School,4/10,7/10,,4/10
Mill Creek Middle School,6/10,6/10,,5/10
Bonnie Branch Middle School,8/10,6/10,,4/10
Winters Mill High School,6/10,,8/10,4/10
Reservoir High School,7/10,,8/10,4/10
Newport Mill Middle School,6/10,6/10,,3/10
Ernest Everett Just Middle School,5/10,5/10,,4/10
Monarch Global Academy PCS Laurel Campus,6/10,5/10,,5/10
Wilson Wims Elementary School,9/10,6/10,,4/10
Gov. Thomas Johnson Middle School,8/10,7/10,,4/10
Tuscarora High School,6/10,,6/10,5/10
Barack Obama Elementary School,5/10,4/10,,4/10
Crestwood Middle School,7/10,8/10,,4/10
Somerset 6/7 Intermediate School,6/10,,,5/10
Turning Point Academy Public Charter,4/10,6/10,,4/10
William B. Gibbs Jr.,8/10,7/10,,3/10
Baltimore International Academy,5/10,5/10,,3/10
Imagine Foundations I Public Charter,5/10,5/10,,5/10
Rockland Woods Elementary School,6/10,4/10,,4/10
Tunbridge Public Charter School,6/10,6/10,,4/10
Benjamin D. Foulois Academy,5/10,6/10,,5/10
Imagine Andrews,6/10,6/10,,6/10
Monarch Academy,6/10,5/10,,4/10
Ducketts Lane,7/10,5/10,,5/10
Mays Chapel Elementary School,8/10,7/10,,4/10
Lyons Mill Elementary School,6/10,,,5/10
Allegany High School,4/10,,8/10,2/10
George's Creek Elementary School,5/10,4/10,,3/10
Center For Career & Technology Education,4/10,,9/10,3/10
Annapolis Elementary School,6/10,6/10,,2/10
Annapolis High School,5/10,,5/10,2/10
Wiley H. Bates Middle School,7/10,6/10,,3/10
Brooklyn Park Elementary School,5/10,5/10,,4/10
Georgetown East Elementary School,3/10,5/10,,3/10
Glen Burnie High School,4/10,,3/10,3/10
Hebron - Harman Elementary School,5/10,6/10,,3/10
Hillsmere Elementary School,8/10,8/10,,2/10
Hilltop Elementary School,4/10,5/10,,3/10
Meade High School,4/10,,4/10,4/10
Oak Hill Elementary School,9/10,6/10,,3/10
Old Mill High School,5/10,,8/10,3/10
Point Pleasant Elementary School,4/10,4/10,,3/10
Rippling Woods Elementary School,4/10,4/10,,2/10
Southgate Elementary School,5/10,6/10,,3/10
Freetown Elementary School,5/10,6/10,,4/10
Charles Carroll Barrister Elementary School,3/10,4/10,,3/10
Mary Ann Winterling Elementary School,3/10,5/10,,3/10
Cecil Elementary School,4/10,7/10,,4/10
Cross Country Elementary School,4/10,6/10,,3/10
Dickey Hill Elementary/Middle School,3/10,5/10,,3/10
Federal Hill Preparatory School,5/10,6/10,,3/10
Grove Park Elementary School,3/10,5/10,,2/10
KIPP Harmony,4/10,5/10,,3/10
Lakeland Elementary/Middle School,3/10,5/10,,3/10
Medfield Heights Elementary School,4/10,4/10,,3/10
Morrell Park Elementary/Middle School,3/10,5/10,,3/10
Mount Royal Elementary/Middle School,3/10,5/10,,3/10
Northwood Elementary School,4/10,7/10,,4/10
Stadium School,3/10,6/10,,3/10
Midtown Academy,4/10,4/10,,3/10
Battle Grove Elementary School,4/10,4/10,,3/10
Catonsville High School,5/10,,7/10,3/10
Cedarmere Elementary School,5/10,4/10,,3/10
Deep Creek Middle School,3/10,6/10,,3/10
Deer Park Elementary School,4/10,5/10,,3/10
Dulaney High School,6/10,,8/10,3/10
Dumbarton Middle School,8/10,7/10,,3/10
Grange Elementary School,4/10,3/10,,2/10
Hebbville Elementary School,4/10,6/10,,3/10
Hernwood Elementary School,4/10,4/10,,3/10
Halstead Academy,3/10,6/10,,3/10
Holabird Middle School,3/10,4/10,,3/10
Johnnycake Elementary School,3/10,5/10,,3/10
Lansdowne Elementary School,4/10,6/10,,3/10
Logan Elementary School,4/10,4/10,,2/10
Mars Estates Elementary School,4/10,5/10,,3/10
Martin Boulevard Elementary School,4/10,5/10,,4/10
Oakleigh Elementary School,4/10,4/10,,3/10
Perry Hall High School,5/10,,7/10,3/10
Pikesville Middle School,5/10,5/10,,2/10
Pikesville High School,3/10,,9/10,2/10
Pleasant Plains Elementary School,5/10,4/10,,3/10
Powhatan Elementary School,3/10,4/10,,3/10
Reisterstown Elementary School,4/10,5/10,,3/10
Riverview Elementary School,3/10,7/10,,3/10
Sandalwood Elementary School,3/10,5/10,,4/10
Shady Spring Elementary School,4/10,5/10,,4/10
Stemmers Run Middle School,4/10,6/10,,3/10
Sussex Elementary School,4/10,4/10,,3/10
Timber Grove Elementary School,5/10,5/10,,3/10
Towson High Law & Public Policy,6/10,,10/10,5/10
Warren Elementary School,7/10,6/10,,2/10
Westowne Elementary School,6/10,5/10,,3/10
Winand Elementary School,4/10,4/10,,4/10
Woodlawn Middle School,3/10,4/10,,3/10
Woodmoor Elementary School,3/10,4/10,,3/10
Glyndon Elementary School,5/10,5/10,,3/10
General John Stricker Middle School,4/10,5/10,,3/10
Golden Ring Middle School,3/10,5/10,,3/10
Middle River Middle School,4/10,5/10,,3/10
Manchester Elementary School,8/10,6/10,,3/10
Taneytown Elementary School,5/10,6/10,,3/10
Bainbridge Elementary School,4/10,4/10,,3/10
Calvert Elementary School,6/10,6/10,,3/10
Conowingo Elementary School,6/10,6/10,,3/10
Elkton Middle School,4/10,5/10,,3/10
North East Elementary School,4/10,3/10,,3/10
Perryville High School,7/10,,6/10,4/10
Thomson Estates Elementary School,4/10,5/10,,4/10
Mary Matula Elementary School,6/10,5/10,,3/10
Daniel Of St. Thomas Jenifer Elementary School,5/10,4/10,,5/10
Dr. Samuel A. Mudd Elementary School,5/10,7/10,,3/10
J. C. Parks Elementary School,4/10,4/10,,3/10
La Plata High School,5/10,,10/10,4/10
Maurice J. Mcdonough High School,4/10,,6/10,3/10
Thomas Stone High School,4/10,,4/10,3/10
Cambridge-South Dorchester High School,4/10,,3/10,2/10
Hurlock Elementary School,4/10,6/10,,3/10
Maple Elementary School,4/10,6/10,,3/10
Emmitsburg Elementary School,6/10,5/10,,3/10
Waverley Elementary School,4/10,4/10,,2/10
Monocacy Elementary School,5/10,5/10,,3/10
Hillcrest Elementary School,3/10,6/10,,2/10
Edgewood Elementary School,3/10,5/10,,3/10
Riverside Elementary School,5/10,5/10,,5/10
William Paca/Old Post Road Elementary School,4/10,4/10,,3/10
Forest Ridge Elementary School,6/10,5/10,,4/10
Bryant Woods Elementary School,5/10,7/10,,3/10
Cradlerock Elementary,5/10,5/10,,4/10
Guilford Elementary School,6/10,7/10,,3/10
Hammond Elementary School,8/10,6/10,,3/10
Hammond Middle School,8/10,6/10,,5/10
Harpers Choice Middle School,5/10,4/10,,3/10
Oakland Mills High School,5/10,,5/10,3/10
Oakland Mills Middle School,6/10,5/10,,3/10
Phelps Luck Elementary School,5/10,5/10,,2/10
Running Brook Elementary School,5/10,4/10,,3/10
Swansfield Elementary School,6/10,5/10,,2/10
Wilde Lake Middle School,5/10,5/10,,4/10
Deep Run Elementary School,5/10,5/10,,3/10
H. H. Garnett Elementary School,4/10,6/10,,2/10
Millington Elementary School,8/10,8/10,,3/10
Dr. Sally K. Ride Elementary School,6/10,6/10,,4/10
Thurgood Marshall Elementary School,8/10,6/10,,3/10
S. Christa Mcauliffe Elementary School,5/10,7/10,,4/10
Jones Lane Elementary School,8/10,6/10,,3/10
Neelsville Middle School,4/10,5/10,,3/10
Albert Einstein High School,4/10,,4/10,3/10
Bethesda-Chevy Chase High School,7/10,,10/10,4/10
Brown Station Elementary School,5/10,4/10,,4/10
Col. Zadok Magruder High School,5/10,,6/10,4/10
College Gardens Elementary School,9/10,6/10,,6/10
Cresthaven Elementary School,3/10,4/10,,3/10
Damascus Elementary School,7/10,,,3/10
Fairland Elementary School,5/10,6/10,,4/10
Farmland Elementary School,9/10,8/10,,9/10
Flower Valley Elementary School,8/10,7/10,,4/10
Gaithersburg Elementary School,3/10,4/10,,3/10
Georgian Forest Elementary School,4/10,6/10,,3/10
Harmony Hills Elementary School,4/10,5/10,,4/10
John F. Kennedy High School,3/10,,3/10,3/10
Flora M. Singer Elementary School,7/10,6/10,,
Meadow Hall Elementary School,5/10,4/10,,3/10
Monocacy Elementary School,8/10,6/10,,3/10
Montgomery Blair High School,5/10,,6/10,3/10
Montgomery Village Middle School,4/10,5/10,,3/10
Oak View Elementary School,5/10,5/10,,3/10
Olney Elementary School,8/10,,,5/10
Pine Crest Elementary School,7/10,6/10,,3/10
Poolesville High School,5/10,,10/10,6/10
Rock Creek Forest Elementary School,8/10,7/10,,4/10
Rock View Elementary School,6/10,5/10,,2/10
Seneca Valley High School,4/10,,4/10,2/10
Springbrook High School,4/10,,4/10,3/10
Twinbrook Elementary School,4/10,5/10,,3/10
Walt Whitman High School,5/10,,10/10,5/10
Watkins Mill Elementary School,4/10,3/10,,2/10
Wheaton High School,4/10,,4/10,3/10
Whetstone Elementary School,5/10,6/10,,4/10
Flower Hill Elementary School,5/10,4/10,,3/10
Goshen Elementary School,6/10,5/10,,3/10
Captain James E. Daly Elementary School,4/10,5/10,,3/10
Cool Spring Elementary School,3/10,4/10,,3/10
William Paca Elementary School,3/10,5/10,,3/10
Adelphi Elementary School,3/10,5/10,,4/10
Allenwood Elementary School,3/10,5/10,,3/10
Apple Grove Elementary School,4/10,6/10,,4/10
Beacon Heights Elementary School,3/10,4/10,,3/10
Bladensburg Elementary School,3/10,4/10,,3/10
Carrollton Elementary School,3/10,5/10,,3/10
Central High School,3/10,,4/10,3/10
Cooper Lane Elementary School,3/10,5/10,,3/10
Doswell E. Brooks Elementary School,4/10,6/10,,4/10
Duval High School,3/10,,5/10,3/10
Dwight D. Eisenhower Middle School,4/10,4/10,,3/10
Fairmont Heights High School,3/10,,4/10,4/10
Fort Foote Elementary School,3/10,5/10,,3/10
Friendly High School,4/10,,2/10,4/10
Gaywood Elementary School,3/10,4/10,,2/10
Glassmanor Elementary School,3/10,6/10,,3/10
High Bridge Elementary School,4/10,4/10,,3/10
High Point High School,3/10,,2/10,3/10
James H. Harrison Elementary School,3/10,4/10,,3/10
James Mchenry Elementary School,3/10,5/10,,3/10
James Ryder Randall Elementary School,3/10,3/10,,3/10
Kettering Elementary School,4/10,6/10,,4/10
Lamont Elementary School,3/10,6/10,,3/10
Langley Park/Mccormick Elementary School,3/10,4/10,,3/10
Largo High School,3/10,,5/10,3/10
Laurel High School,3/10,,3/10,3/10
Longfields Elementary School,5/10,5/10,,4/10
Isaac J. Gourdine Middle School,3/10,5/10,,4/10
Marlton Elementary School,4/10,6/10,,4/10
Mattaponi Elementary School,7/10,5/10,,5/10
Melwood Elementary School,3/10,5/10,,3/10
Nicholas Orem Middle School,3/10,5/10,,3/10
Oaklands Elementary School,4/10,5/10,,3/10
Oxon Hill Elementary School,3/10,5/10,,3/10
Parkdale High School,3/10,,2/10,3/10
Patuxent Elementary School,5/10,7/10,,4/10
Phyllis E. Williams Elementary School,4/10,3/10,,3/10
Pointer Ridge Elementary School,5/10,4/10,,4/10
Rogers Heights Elementary School,3/10,6/10,,3/10
Rose Valley Elementary School,3/10,4/10,,3/10
Surrattsville High School,3/10,,3/10,3/10
Templeton Elementary School,3/10,5/10,,3/10
Thomas S. Stone Elementary School,3/10,7/10,,3/10
Waldon Woods Elementary School,4/10,6/10,,3/10
William Wirt Middle School,3/10,4/10,,3/10
Woodridge Elementary School,4/10,4/10,,4/10
Benjamin Stoddert Middle School,3/10,6/10,,3/10
Thurgood Marshall Middle School,3/10,5/10,,4/10
Stephen Decatur Middle School,3/10,4/10,,3/10
Kettering Middle School,4/10,5/10,,3/10
Kennard Elementary School,7/10,7/10,,4/10
Sudlersville Elementary School,4/10,,,4/10
Benjamin Banneker Elementary School,6/10,5/10,,2/10
Dynard Elementary School,5/10,6/10,,2/10
George Washington Carver Elementary School,3/10,5/10,,2/10
Easton High School,6/10,,7/10,4/10
Eastern Elementary School,5/10,6/10,,4/10
Boonsboro Elementary School,7/10,6/10,,3/10
Emma K. Doub Elementary School for Integrated Arts & Technology,6/10,6/10,,4/10
Lincolnshire Elementary School,4/10,3/10,,3/10
Maugansville Elementary School,5/10,3/10,,4/10
Northern Middle School,5/10,6/10,,4/10
East Salisbury Elementary School,4/10,5/10,,3/10
Glen Avenue School,3/10,6/10,,2/10
Parkside High School,5/10,,6/10,4/10
Pinehurst Elementary School,4/10,6/10,,2/10
Prince Street School,4/10,6/10,,4/10
Wicomico High School,4/10,,3/10,3/10
Sligo Creek Elementary School,8/10,6/10,,3/10
Westside Intermediate School,6/10,6/10,,2/10
The Crossroads School,4/10,6/10,,4/10
G. James Gholson Middle School,3/10,,,3/10
Lake Arbor Elementary School,3/10,5/10,,3/10
Mary Harris 'Mother' Jones Elementary School,3/10,4/10,,2/10
Berwyn Heights Elementary School,5/10,5/10,,2/10
Northwood High School,4/10,,3/10,3/10
Greenwood Elementary School,4/10,7/10,,4/10
Patterson Park Public Charter School,4/10,5/10,,2/10
A. Mario Loiederman Middle School,4/10,5/10,,3/10
William A. Diggs Elementary School,5/10,4/10,,4/10
Excel Academy Public Charter,4/10,5/10,,3/10
Windsor Mill Middle School,3/10,5/10,,3/10
Clarksburg High School,4/10,,7/10,3/10
Sargent Shriver Elementary School,4/10,4/10,,5/10
Carter G Woodson Elementary School,3/10,5/10,,3/10
Rosa L. Parks Elementary School,3/10,4/10,,3/10
Northview Elementary School,4/10,5/10,,3/10
Mountain Ridge High School,4/10,,8/10,3/10
Mary B. Neal Elementary School,5/10,5/10,,3/10
The Seed School Of Maryland,3/10,4/10,3/10,3/10
Green Street Academy,3/10,6/10,,2/10
Baltimore Leadership School For Young Women,4/10,4/10,,3/10
Imagine Foundations Ii Public Charter,3/10,3/10,,3/10
Lake Elkhorn Middle School,6/10,6/10,,4/10
Thomas Viaduct Middle School,6/10,4/10,,4/10
St Charles High School,4/10,,2/10,4/10
Germantown Elementary School,4/10,4/10,,2/10
Northeast High School,3/10,,5/10,2/10
Walter S. Mills - Parole Elementary School,3/10,6/10,,3/10
Tyler Heights Elementary School,2/10,3/10,,2/10
Abbottston Elementary School,2/10,3/10,,2/10
Arlington Elementary School,2/10,4/10,,1/10
Dr. Nathan A. Pitts-Ashburton Elementary/Middle School,2/10,3/10,,2/10
Barclay Elementary/Middle School,2/10,5/10,,2/10
Beechfield Elementary School,2/10,5/10,,2/10
Benjamin Franklin High School @ Masonville Cove,2/10,,1/10,2/10
Carver Vocational-Technical High School,2/10,,3/10,2/10
Commodore John Rogers Elementary School,3/10,5/10,,3/10
Curtis Bay Elementary School,2/10,3/10,,2/10
Edgewood Elementary School,2/10,4/10,,2/10
Edmondson-Westside High School,2/10,,3/10,2/10
Eutaw-Marshburn Elementary School,2/10,3/10,,2/10
Forest Park High School,2/10,,1/10,2/10
Francis Scott Key Elementary/Middle School,3/10,5/10,,2/10
Franklin Square Elementary School,2/10,5/10,,2/10
Garrett Heights Elementary School,2/10,5/10,,2/10
Wolfe Street Academy,2/10,5/10,,2/10
City Neighbors High School,2/10,,3/10,2/10
Glenmount Elementary/Middle School,2/10,4/10,,2/10
Graceland Park/O'donnel Heights Elementary School,2/10,4/10,,2/10
Gwynns Falls Elementary School,3/10,5/10,,2/10
Hazelwood Elementary/Middle School,2/10,4/10,,2/10
Highlandtown Elementary #215,2/10,3/10,,2/10
Holabird Elementary,2/10,4/10,,2/10
John Eager Howard Elementary School,3/10,5/10,,2/10
John Ruhrah Elementary School,2/10,5/10,,2/10
Lockerman Bundy Elementary School,2/10,6/10,,2/10
Leith Walk Elementary School,3/10,4/10,,2/10
Lyndhurst Elementary School,2/10,3/10,,2/10
Mergenthaler Vocational-Technical High School,2/10,,2/10,2/10
Montebello Elementary School,2/10,4/10,,2/10
Moravia Park,2/10,4/10,,2/10
Paul Laurence Dunbar High School,4/10,,6/10,3/10
Sinclair Lane Elementary School,2/10,4/10,,2/10
Steuart Hill Academic Academy,1/10,3/10,,2/10
Thomas Jefferson Elementary School,2/10,4/10,,2/10
Violetville Elementary/Middle School,3/10,4/10,,3/10
Walter P. Carter Elementary School,2/10,5/10,,2/10
Waverly Elementary School,2/10,4/10,,2/10
William Paca Elementary School,2/10,4/10,,2/10
William Pinderhughes Elementary School,2/10,5/10,,2/10
Windsor Hills Elementary School,3/10,5/10,,3/10
Woodhome Elementary/Middle School,2/10,3/10,,2/10
Yorkwood Elementary School,2/10,7/10,,2/10
North Bend Elementary/Middle School,3/10,5/10,,2/10
Maree Garnett Farring Elementary School,3/10,5/10,,2/10
Calvin M. Rodwell Elementary School,2/10,7/10,,2/10
